# 02/18/2021, 12:46:38 
# rGO-based sensors 

# Power Law Fit data


x_fit_values	y_fit_1	y_fit_2	y_fit_3	y_fit_4
     0.000	     0.000	     0.000	     0.000	     0.000
     0.005	     4.037	     3.343	     2.468	     9.278
     0.010	     5.079	     4.251	     3.256	    10.808
     0.015	     5.808	     4.892	     3.829	    11.817
     0.020	     6.388	     5.405	     4.296	    12.590
     0.025	     6.878	     5.840	     4.697	    13.224
     0.030	     7.306	     6.221	     5.052	    13.766
     0.035	     7.688	     6.562	     5.373	    14.241
     0.040	     8.036	     6.873	     5.668	    14.666
     0.045	     8.355	     7.160	     5.941	    15.052
     0.050	     8.652	     7.426	     6.197	    15.405
     0.055	     8.929	     7.676	     6.437	    15.732
     0.060	     9.190	     7.911	     6.665	    16.036
     0.065	     9.437	     8.133	     6.882	    16.321
     0.070	     9.671	     8.345	     7.089	    16.590
     0.075	     9.895	     8.547	     7.287	    16.844
     0.080	    10.108	     8.740	     7.478	    17.085
     0.085	    10.313	     8.926	     7.661	    17.314
     0.090	    10.510	     9.104	     7.838	    17.534
     0.095	    10.700	     9.277	     8.010	    17.744
     0.100	    10.883	     9.443	     8.176	    17.945
     0.105	    11.060	     9.604	     8.337	    18.139
     0.110	    11.232	     9.760	     8.493	    18.326
     0.115	    11.398	     9.912	     8.646	    18.506
     0.120	    11.560	    10.059	     8.794	    18.680
     0.125	    11.717	    10.202	     8.939	    18.849
     0.130	    11.871	    10.342	     9.080	    19.013
     0.135	    12.020	    10.478	     9.218	    19.171
     0.140	    12.165	    10.611	     9.353	    19.325
     0.145	    12.307	    10.741	     9.485	    19.475
     0.150	    12.446	    10.868	     9.615	    19.621
     0.155	    12.582	    10.992	     9.742	    19.763
     0.160	    12.715	    11.114	     9.866	    19.902
     0.165	    12.845	    11.233	     9.988	    20.037
     0.170	    12.973	    11.350	    10.108	    20.170
     0.175	    13.098	    11.465	    10.226	    20.299
     0.180	    13.221	    11.577	    10.342	    20.425
     0.185	    13.341	    11.688	    10.456	    20.549
     0.190	    13.459	    11.796	    10.568	    20.670
     0.195	    13.576	    11.903	    10.678	    20.788
     0.200	    13.690	    12.008	    10.787	    20.904
     0.205	    13.802	    12.111	    10.894	    21.018
     0.210	    13.913	    12.213	    10.999	    21.130
     0.215	    14.022	    12.313	    11.103	    21.240
     0.220	    14.129	    12.411	    11.206	    21.348
     0.225	    14.234	    12.508	    11.307	    21.454
     0.230	    14.338	    12.604	    11.407	    21.558
     0.235	    14.440	    12.698	    11.505	    21.660
     0.240	    14.541	    12.791	    11.603	    21.761
     0.245	    14.641	    12.883	    11.699	    21.860
     0.250	    14.739	    12.973	    11.794	    21.957
     0.255	    14.836	    13.063	    11.887	    22.053
     0.260	    14.932	    13.151	    11.980	    22.148
     0.265	    15.026	    13.238	    12.072	    22.241
     0.270	    15.120	    13.324	    12.162	    22.333
     0.275	    15.212	    13.409	    12.252	    22.423
     0.280	    15.303	    13.493	    12.340	    22.512
     0.285	    15.393	    13.576	    12.428	    22.600
     0.290	    15.482	    13.658	    12.515	    22.687
     0.295	    15.569	    13.739	    12.601	    22.772
     0.300	    15.656	    13.820	    12.686	    22.857
     0.305	    15.742	    13.899	    12.770	    22.940
     0.310	    15.827	    13.978	    12.853	    23.022
     0.315	    15.911	    14.055	    12.936	    23.104
     0.320	    15.994	    14.132	    13.017	    23.184
     0.325	    16.077	    14.209	    13.098	    23.263
     0.330	    16.158	    14.284	    13.178	    23.342
     0.335	    16.239	    14.359	    13.258	    23.419
     0.340	    16.318	    14.433	    13.337	    23.496
     0.345	    16.398	    14.506	    13.415	    23.571
     0.350	    16.476	    14.578	    13.492	    23.646
     0.355	    16.553	    14.650	    13.569	    23.720
     0.360	    16.630	    14.721	    13.645	    23.793
     0.365	    16.706	    14.792	    13.720	    23.865
     0.370	    16.782	    14.862	    13.795	    23.937
     0.375	    16.856	    14.931	    13.870	    24.008
     0.380	    16.930	    15.000	    13.943	    24.078
     0.385	    17.004	    15.068	    14.016	    24.148
     0.390	    17.077	    15.136	    14.089	    24.216
     0.395	    17.149	    15.203	    14.161	    24.284
     0.400	    17.220	    15.269	    14.232	    24.352
     0.405	    17.291	    15.335	    14.303	    24.418
     0.410	    17.362	    15.400	    14.373	    24.484
     0.415	    17.432	    15.465	    14.443	    24.550
     0.420	    17.501	    15.529	    14.513	    24.615
     0.425	    17.569	    15.593	    14.581	    24.679
     0.430	    17.638	    15.657	    14.650	    24.743
     0.435	    17.705	    15.719	    14.718	    24.806
     0.440	    17.772	    15.782	    14.785	    24.868
     0.445	    17.839	    15.844	    14.852	    24.930
     0.450	    17.905	    15.905	    14.919	    24.991
     0.455	    17.971	    15.966	    14.985	    25.052
     0.460	    18.036	    16.027	    15.050	    25.113
     0.465	    18.100	    16.087	    15.115	    25.173
     0.470	    18.165	    16.147	    15.180	    25.232
     0.475	    18.228	    16.206	    15.245	    25.291
     0.480	    18.292	    16.265	    15.309	    25.349
     0.485	    18.354	    16.324	    15.372	    25.407
     0.490	    18.417	    16.382	    15.435	    25.465
     0.495	    18.479	    16.440	    15.498	    25.522
     0.500	    18.540	    16.497	    15.560	    25.578
     0.505	    18.602	    16.554	    15.622	    25.634
     0.510	    18.662	    16.611	    15.684	    25.690
     0.515	    18.723	    16.667	    15.745	    25.745
     0.520	    18.783	    16.723	    15.806	    25.800
     0.525	    18.842	    16.778	    15.867	    25.854
     0.530	    18.902	    16.833	    15.927	    25.908
     0.535	    18.960	    16.888	    15.987	    25.962
     0.540	    19.019	    16.943	    16.047	    26.015
     0.545	    19.077	    16.997	    16.106	    26.068
     0.550	    19.135	    17.051	    16.165	    26.121
     0.555	    19.192	    17.105	    16.224	    26.173
     0.560	    19.249	    17.158	    16.282	    26.224
     0.565	    19.306	    17.211	    16.340	    26.276
     0.570	    19.362	    17.263	    16.397	    26.327
     0.575	    19.418	    17.316	    16.455	    26.378
     0.580	    19.474	    17.368	    16.512	    26.428
     0.585	    19.530	    17.420	    16.569	    26.478
     0.590	    19.585	    17.471	    16.625	    26.528
     0.595	    19.639	    17.522	    16.681	    26.577
     0.600	    19.694	    17.573	    16.737	    26.626
     0.605	    19.748	    17.624	    16.793	    26.675
     0.610	    19.802	    17.674	    16.848	    26.723
     0.615	    19.855	    17.724	    16.903	    26.771
     0.620	    19.909	    17.774	    16.958	    26.819
     0.625	    19.962	    17.824	    17.013	    26.866
     0.630	    20.014	    17.873	    17.067	    26.913
     0.635	    20.067	    17.922	    17.121	    26.960
     0.640	    20.119	    17.971	    17.175	    27.007
     0.645	    20.171	    18.019	    17.228	    27.053
     0.650	    20.223	    18.068	    17.282	    27.099
     0.655	    20.274	    18.116	    17.335	    27.145
     0.660	    20.325	    18.163	    17.387	    27.191
     0.665	    20.376	    18.211	    17.440	    27.236
     0.670	    20.427	    18.258	    17.492	    27.281
     0.675	    20.477	    18.305	    17.544	    27.325
