# 02/18/2021, 12:46:38 
# rGO-based sensors 

# Normalization data
# time unit: min
# normalization point: 50.0 min


Time	ch1 norm	ch2 norm	ch3 norm	ch4 norm
 0.0000000	 1.0009931	 1.0007611	 1.0002320	 0.9951472
 1.0000000	 1.0007794	 1.0002319	 1.0002670	 0.9944831
 2.0000000	 1.0012000	 1.0003501	 1.0001138	 0.9949277
 3.0000000	 1.0005007	 1.0005906	 1.0001618	 0.9960350
 4.0000000	 1.0007495	 1.0003658	 1.0004755	 0.9955474
 5.0000000	 1.0005324	 1.0005458	 1.0000748	 0.9954731
 6.0000000	 1.0004210	 1.0006246	 1.0001029	 0.9961082
 7.0000000	 1.0004925	 1.0002278	 1.0001237	 0.9958088
 8.0000000	 1.0005919	 1.0005326	 1.0002445	 0.9957351
 9.0000000	 1.0002186	 1.0014947	 1.0002797	 0.9963688
10.0000000	 1.0001432	 1.0005814	 1.0002662	 0.9959768
11.0000000	 1.0004132	 1.0005639	 0.9999606	 0.9958170
12.0000000	 1.0003338	 1.0006760	 1.0002267	 0.9961216
13.0000000	 1.0000901	 0.9998463	 0.9999277	 0.9956070
14.0000000	 1.0005755	 1.0000309	 0.9999345	 0.9966557
15.0000000	 1.0004649	 0.9999150	 0.9998709	 0.9969662
16.0000000	 1.0000636	 0.9996112	 1.0001846	 0.9962647
17.0000000	 0.9997743	 0.9994208	 0.9999304	 0.9970535
18.0000000	 0.9995197	 1.0001854	 0.9999942	 0.9972513
19.0000000	 0.9995802	 0.9997943	 0.9998893	 0.9966114
20.0000000	 0.9993572	 0.9999838	 0.9996361	 0.9974155
21.0000000	 0.9996053	 1.0003473	 0.9999463	 0.9975268
22.0000000	 0.9993144	 0.9999550	 0.9998934	 0.9970960
23.0000000	 0.9990380	 1.0001867	 0.9996238	 0.9978655
24.0000000	 0.9988630	 0.9997019	 0.9998267	 0.9981264
25.0000000	 0.9988359	 0.9996836	 1.0000275	 0.9976782
26.0000000	 0.9990856	 0.9995110	 0.9998886	 0.9986887
27.0000000	 0.9990849	 1.0000457	 0.9996981	 0.9985109
28.0000000	 0.9989545	 0.9993683	 0.9999342	 0.9982085
29.0000000	 0.9990376	 0.9994136	 0.9996970	 0.9986077
30.0000000	 0.9988336	 0.9989522	 0.9998182	 0.9989333
31.0000000	 0.9988665	 0.9990567	 0.9997234	 0.9985328
32.0000000	 0.9989634	 0.9991761	 0.9994923	 0.9989346
33.0000000	 0.9989948	 0.9994130	 0.9996136	 0.9993404
34.0000000	 0.9988914	 0.9991585	 0.9996706	 0.9986444
35.0000000	 0.9991318	 0.9995968	 0.9997107	 0.9993196
36.0000000	 0.9992454	 0.9994163	 0.9999110	 0.9993664
37.0000000	 0.9990700	 0.9998443	 0.9999433	 0.9989570
38.0000000	 0.9987358	 1.0002735	 0.9996872	 0.9993501
39.0000000	 0.9994643	 1.0000716	 0.9999318	 0.9994477
40.0000000	 0.9994006	 0.9997717	 0.9997818	 0.9990375
41.0000000	 0.9990674	 0.9990601	 0.9998280	 0.9997381
42.0000000	 0.9993550	 0.9996190	 1.0000473	 0.9994846
43.0000000	 0.9994022	 0.9995201	 0.9998585	 0.9987960
44.0000000	 0.9995738	 0.9995868	 0.9999074	 0.9994770
45.0000000	 0.9998531	 0.9996401	 0.9999384	 0.9994824
46.0000000	 1.0001149	 0.9994990	 0.9998220	 0.9990013
47.0000000	 0.9997445	 0.9996511	 0.9998729	 0.9997276
48.0000000	 1.0000366	 1.0003439	 0.9999551	 0.9995038
49.0000000	 0.9997917	 0.9995124	 0.9997868	 0.9987619
50.0000000	 1.0000000	 1.0000000	 1.0000000	 1.0000000
51.0000000	 0.9839072	 0.9883529	 0.9957680	 0.9698996
52.0000000	 0.9563444	 0.9673399	 0.9858997	 0.9049317
53.0000000	 0.9387999	 0.9534927	 0.9774725	 0.8872849
54.0000000	 0.9299117	 0.9446585	 0.9705016	 0.8782942
55.0000000	 0.9123560	 0.9297529	 0.9588970	 0.8480651
56.0000000	 0.8961991	 0.9151745	 0.9462573	 0.8234546
57.0000000	 0.8805479	 0.9007474	 0.9316677	 0.8032130
58.0000000	 0.8667328	 0.8878351	 0.9178207	 0.7887297
59.0000000	 0.8554846	 0.8763497	 0.9043961	 0.7779271
