# 02/18/2021, 12:46:38 
# rGO-based sensors 

# Visualization data
# time unit: min
# channels unit: kOhm


Time	ch1	ch2	ch3	ch4
    0.0000	   23.7970	   36.4562	   44.1098	  259.0063
    1.0000	   23.7920	   36.4369	   44.1113	  258.8335
    2.0000	   23.8020	   36.4412	   44.1046	  258.9492
    3.0000	   23.7853	   36.4500	   44.1067	  259.2374
    4.0000	   23.7913	   36.4418	   44.1205	  259.1105
    5.0000	   23.7861	   36.4483	   44.1028	  259.0911
    6.0000	   23.7834	   36.4512	   44.1041	  259.2565
    7.0000	   23.7851	   36.4367	   44.1050	  259.1785
    8.0000	   23.7875	   36.4478	   44.1103	  259.1593
    9.0000	   23.7786	   36.4829	   44.1119	  259.3243
   10.0000	   23.7768	   36.4496	   44.1113	  259.2222
   11.0000	   23.7833	   36.4490	   44.0978	  259.1807
   12.0000	   23.7814	   36.4531	   44.1095	  259.2599
   13.0000	   23.7756	   36.4228	   44.0964	  259.1260
   14.0000	   23.7871	   36.4296	   44.0967	  259.3990
   15.0000	   23.7845	   36.4253	   44.0939	  259.4798
   16.0000	   23.7750	   36.4143	   44.1077	  259.2972
   17.0000	   23.7681	   36.4073	   44.0965	  259.5025
   18.0000	   23.7620	   36.4352	   44.0993	  259.5540
   19.0000	   23.7635	   36.4210	   44.0947	  259.3874
   20.0000	   23.7582	   36.4279	   44.0835	  259.5967
   21.0000	   23.7641	   36.4411	   44.0972	  259.6257
   22.0000	   23.7571	   36.4268	   44.0948	  259.5135
   23.0000	   23.7506	   36.4352	   44.0830	  259.7138
   24.0000	   23.7464	   36.4176	   44.0919	  259.7817
   25.0000	   23.7458	   36.4169	   44.1008	  259.6651
   26.0000	   23.7517	   36.4106	   44.0946	  259.9281
   27.0000	   23.7517	   36.4301	   44.0862	  259.8818
   28.0000	   23.7486	   36.4054	   44.0966	  259.8031
   29.0000	   23.7506	   36.4071	   44.0862	  259.9070
   30.0000	   23.7457	   36.3903	   44.0915	  259.9917
   31.0000	   23.7465	   36.3941	   44.0874	  259.8875
