# 02/20/2021, 21:33:11 
# resultsAmadou 

# Power Law Fit data


x_fit_values	y_fit_1
     0.000	     0.000
     0.500	    14.749
     1.000	    21.097
     1.500	    26.012
     2.000	    30.179
     2.500	    33.865
     3.000	    37.209
     3.500	    40.292
     4.000	    43.169
     4.500	    45.877
     5.000	    48.442
     5.500	    50.886
     6.000	    53.225
     6.500	    55.472
     7.000	    57.636
     7.500	    59.727
     8.000	    61.751
     8.500	    63.715
     9.000	    65.624
     9.500	    67.482
    10.000	    69.294
    10.500	    71.062
    11.000	    72.790
    11.500	    74.481
    12.000	    76.136
    12.500	    77.758
    13.000	    79.349
    13.500	    80.911
    14.000	    82.445
    14.500	    83.953
    15.000	    85.436
    15.500	    86.895
    16.000	    88.331
    16.500	    89.746
    17.000	    91.141
    17.500	    92.516
    18.000	    93.872
    18.500	    95.209
    19.000	    96.530
    19.500	    97.833
    20.000	    99.121
    20.500	   100.393
    21.000	   101.651
    21.500	   102.893
    22.000	   104.122
    22.500	   105.338
    23.000	   106.540
    23.500	   107.730
    24.000	   108.908
    24.500	   110.074
    25.000	   111.229
    25.500	   112.372
    26.000	   113.505
    26.500	   114.627
    27.000	   115.739
    27.500	   116.841
    28.000	   117.933
    28.500	   119.016
    29.000	   120.090
    29.500	   121.155
    30.000	   122.211
    30.500	   123.259
    31.000	   124.299
    31.500	   125.330
    32.000	   126.353
    32.500	   127.369
    33.000	   128.378
    33.500	   129.379
    34.000	   130.372
    34.500	   131.359
    35.000	   132.339
    35.500	   133.312
    36.000	   134.278
    36.500	   135.238
    37.000	   136.192
    37.500	   137.139
    38.000	   138.081
    38.500	   139.016
    39.000	   139.946
    39.500	   140.869
    40.000	   141.788
    40.500	   142.700
    41.000	   143.607
    41.500	   144.509
    42.000	   145.406
    42.500	   146.297
    43.000	   147.184
    43.500	   148.065
    44.000	   148.942
    44.500	   149.813
    45.000	   150.680
    45.500	   151.543
    46.000	   152.400
    46.500	   153.254
    47.000	   154.103
    47.500	   154.947
    48.000	   155.787
    48.500	   156.623
    49.000	   157.455
    49.500	   158.283
    50.000	   159.107
    50.500	   159.927
    51.000	   160.742
    51.500	   161.554
    52.000	   162.363
    52.500	   163.167
    53.000	   163.968
    53.500	   164.765
    54.000	   165.558
    54.500	   166.348
    55.000	   167.135
    55.500	   167.918
    56.000	   168.697
    56.500	   169.474
    57.000	   170.246
    57.500	   171.016
    58.000	   171.783
    58.500	   172.546
    59.000	   173.306
    59.500	   174.063
    60.000	   174.817
    60.500	   175.568
    61.000	   176.316
    61.500	   177.060
    62.000	   177.802
    62.500	   178.542
    63.000	   179.278
    63.500	   180.011
    64.000	   180.742
    64.500	   181.470
    65.000	   182.195
    65.500	   182.918
    66.000	   183.637
    66.500	   184.355
    67.000	   185.069
    67.500	   185.781
    68.000	   186.491
    68.500	   187.198
    69.000	   187.902
    69.500	   188.604
    70.000	   189.304
    70.500	   190.001
    71.000	   190.696
    71.500	   191.388
    72.000	   192.078
    72.500	   192.766
    73.000	   193.451
    73.500	   194.134
    74.000	   194.815
    74.500	   195.494
    75.000	   196.171
    75.500	   196.845
    76.000	   197.517
    76.500	   198.187
    77.000	   198.855
    77.500	   199.521
    78.000	   200.185
    78.500	   200.846
    79.000	   201.506
    79.500	   202.164
    80.000	   202.820
    80.500	   203.473
    81.000	   204.125
    81.500	   204.775
    82.000	   205.423
    82.500	   206.069
    83.000	   206.713
    83.500	   207.355
    84.000	   207.995
    84.500	   208.634
    85.000	   209.270
    85.500	   209.905
    86.000	   210.538
    86.500	   211.170
    87.000	   211.799
    87.500	   212.427
    88.000	   213.053
    88.500	   213.677
    89.000	   214.300
    89.500	   214.921
    90.000	   215.540
    90.500	   216.158
    91.000	   216.774
    91.500	   217.388
    92.000	   218.001
    92.500	   218.612
    93.000	   219.221
    93.500	   219.829
    94.000	   220.436
    94.500	   221.041
    95.000	   221.644
    95.500	   222.245
    96.000	   222.846
    96.500	   223.444
    97.000	   224.042
    97.500	   224.637
    98.000	   225.231
    98.500	   225.824
    99.000	   226.416
    99.500	   227.005
   100.000	   227.594
   100.500	   228.181
   101.000	   228.766
   101.500	   229.351
   102.000	   229.933
   102.500	   230.515
   103.000	   231.095
   103.500	   231.674
   104.000	   232.251
   104.500	   232.827
   105.000	   233.402
   105.500	   233.975
   106.000	   234.547
   106.500	   235.118
   107.000	   235.687
   107.500	   236.255
   108.000	   236.822
   108.500	   237.388
   109.000	   237.952
   109.500	   238.515
   110.000	   239.077
   110.500	   239.638
   111.000	   240.197
   111.500	   240.756
   112.000	   241.313
   112.500	   241.868
   113.000	   242.423
   113.500	   242.976
   114.000	   243.529
   114.500	   244.080
   115.000	   244.630
   115.500	   245.178
   116.000	   245.726
   116.500	   246.272
   117.000	   246.818
   117.500	   247.362
   118.000	   247.905
   118.500	   248.447
   119.000	   248.988
   119.500	   249.527
   120.000	   250.066
   120.500	   250.604
   121.000	   251.140
   121.500	   251.676
   122.000	   252.210
   122.500	   252.743
   123.000	   253.276
   123.500	   253.807
   124.000	   254.337
   124.500	   254.866
   125.000	   255.394
   125.500	   255.921
   126.000	   256.448
   126.500	   256.973
   127.000	   257.497
   127.500	   258.020
   128.000	   258.542
   128.500	   259.063
   129.000	   259.583
   129.500	   260.102
   130.000	   260.620
   130.500	   261.138
   131.000	   261.654
   131.500	   262.169
   132.000	   262.684
   132.500	   263.197
   133.000	   263.709
   133.500	   264.221
   134.000	   264.732
   134.500	   265.241
   135.000	   265.750
   135.500	   266.258
   136.000	   266.765
   136.500	   267.271
   137.000	   267.776
   137.500	   268.281
   138.000	   268.784
   138.500	   269.286
   139.000	   269.788
   139.500	   270.289
   140.000	   270.789
   140.500	   271.288
   141.000	   271.786
   141.500	   272.283
   142.000	   272.780
   142.500	   273.275
   143.000	   273.770
   143.500	   274.264
   144.000	   274.757
   144.500	   275.250
   145.000	   275.741
   145.500	   276.232
   146.000	   276.722
   146.500	   277.211
   147.000	   277.699
   147.500	   278.186
   148.000	   278.673
   148.500	   279.159
   149.000	   279.644
   149.500	   280.128
   150.000	   280.612
   150.500	   281.094
   151.000	   281.576
   151.500	   282.057
   152.000	   282.538
   152.500	   283.017
   153.000	   283.496
   153.500	   283.974
   154.000	   284.452
   154.500	   284.928
   155.000	   285.404
   155.500	   285.879
   156.000	   286.354
   156.500	   286.827
   157.000	   287.300
   157.500	   287.772
   158.000	   288.244
   158.500	   288.715
   159.000	   289.185
   159.500	   289.654
   160.000	   290.123
   160.500	   290.590
   161.000	   291.058
   161.500	   291.524
   162.000	   291.990
   162.500	   292.455
   163.000	   292.919
   163.500	   293.383
   164.000	   293.846
   164.500	   294.309
   165.000	   294.770
   165.500	   295.231
   166.000	   295.692
