# 02/20/2021, 21:33:11 
# resultsAmadou 

# Visualization data
# time unit: min
# channels unit: MOhm


Time	ch1
    0.0000	    2.8326
    0.5000	    2.8292
    1.0000	    2.8219
    1.5000	    2.8140
    2.0000	    2.8043
    2.5000	    2.7993
    3.0000	    2.7924
    3.5000	    2.7898
    4.0000	    2.7824
    4.5000	    2.7730
    5.0000	    2.7719
    5.5000	    2.7633
    6.0000	    2.7575
    6.5000	    2.7541
    7.0000	    2.7466
    7.5000	    2.7392
    8.0000	    2.7377
    8.5000	    2.7297
    9.0000	    2.7269
    9.5000	    2.7179
   10.0000	    2.7124
   10.5000	    2.7093
   11.0000	    2.7029
   11.5000	    2.6979
   12.0000	    2.6938
   12.5000	    2.6900
   13.0000	    2.6849
   13.5000	    2.6804
   14.0000	    2.6783
   14.5000	    2.6715
   15.0000	    2.6706
   15.5000	    4.3268
   16.0000	    5.2415
   16.5000	    5.5788
   17.0000	    5.7196
   17.5000	    5.7913
   18.0000	    5.8677
   18.5000	    5.9420
   19.0000	    5.9870
   19.5000	    6.0441
   20.0000	    6.0902
   20.5000	    6.2039
   21.0000	    6.3239
   21.5000	    6.3809
   22.0000	    6.4206
   22.5000	    6.4626
   23.0000	    6.5062
   23.5000	    6.5371
   24.0000	    6.5657
   24.5000	    6.5896
   25.0000	    6.6125
   25.5000	    6.6324
   26.0000	    6.6706
   26.5000	    6.6873
   27.0000	    6.7095
   27.5000	    6.7258
   28.0000	    6.7437
   28.5000	    6.7580
   29.0000	    6.7907
   29.5000	    6.8093
   30.0000	    6.8218
   30.5000	    5.3386
   31.0000	    4.8139
   31.5000	    4.5371
   32.0000	    4.3320
   32.5000	    4.1768
   33.0000	    4.0652
   33.5000	    3.9631
   34.0000	    3.8807
   34.5000	    3.8075
   35.0000	    3.7530
   35.5000	    3.6922
   36.0000	    3.6398
   36.5000	    3.5928
   37.0000	    3.5562
   37.5000	    3.5207
   38.0000	    3.4780
   38.5000	    3.4508
   39.0000	    3.4150
   39.5000	    3.3897
   40.0000	    3.3627
   40.5000	    3.3378
   41.0000	    3.3130
   41.5000	    3.2873
   42.0000	    3.2657
   42.5000	    3.2442
   43.0000	    3.2248
   43.5000	    3.2072
   44.0000	    3.1909
   44.5000	    3.1680
   45.0000	    3.1529
   45.5000	    3.1387
   46.0000	    3.1243
   46.5000	    3.1096
   47.0000	    3.0964
   47.5000	    3.0813
   48.0000	    3.0673
   48.5000	    3.0513
   49.0000	    3.0424
   49.5000	    3.0310
   50.0000	    3.0159
   50.5000	    3.0067
   51.0000	    2.9951
   51.5000	    2.9844
   52.0000	    2.9758
   52.5000	    2.9637
   53.0000	    2.9514
   53.5000	    2.9456
   54.0000	    2.9340
   54.5000	    2.9271
   55.0000	    2.9142
   55.5000	    2.9062
   56.0000	    2.8993
   56.5000	    2.8926
   57.0000	    2.8813
   57.5000	    2.8766
   58.0000	    2.8656
   58.5000	    2.8593
   59.0000	    2.8500
   59.5000	    2.8460
   60.0000	    2.8357
   60.5000	    2.8317
   61.0000	    2.8241
   61.5000	    2.8175
   62.0000	    2.8094
   62.5000	    2.8020
   63.0000	    2.7988
   63.5000	    2.7934
   64.0000	    2.7825
   64.5000	    2.7761
   65.0000	    2.7757
   65.5000	    2.7662
   66.0000	    2.7596
   66.5000	    2.7546
   67.0000	    2.7494
   67.5000	    2.7426
   68.0000	    2.7421
   68.5000	    2.7366
   69.0000	    2.7287
   69.5000	    2.7226
   70.0000	    2.7162
   70.5000	    2.7154
   71.0000	    2.7095
   71.5000	    2.7035
   72.0000	    2.6981
